✨ Hold at least 10 MUNDI token ✨ Share an extra $10,000 in MUNDI!	
Address	MUNDI Reward
9AtZHD9jRYCYheBPL1RTCTzt18xZpCMZvHxgW4UFeMhq	1875
BHj4KZrd6uFoDtARvHeNyqR35hvqWTxmqiFQseoxMtf8	1875
6unKkQJKJyaxteb5zR6K6XdADroRwjG4Mi2ztTbnUoBh	1875
56AAmt659JhxUNpYcLAkddbg36DncwQpeRtQwy8uVLfo	1875
5xGsRnCdE9Hpfkioz3zXfsyvaU5UjrhYQfnQNr8XakK7	1875
CDbcRwhrPab86U3vR5W7SzSwMWwf2MTZw8Uqz8vW3a9a	1875
88Wo8CbGXS53h89LDUBvq3qtcJ5X4kwtkswXBtqHTeqL	1875
BMCMYhna1KVTRRJq2bZ6rHKA9atqEatYCfDNFHuhodsu	1875
ESb3KLz885bywUSw3iQPpDxag61hcjEMQUAXtxBJfBPn	1875
ELEPENfTczR8E17o5QGL3ZgfpsFs4YdgfQqc63PJBry3	1875
ERRTZYCkivbDfGHEnt14unZidVrJRsRANyfxEeFsZWcq	1750
AkQwQmEsvaWhtHU2G5qjYwEm4hASrVsa7y8CHJjPYBJU	1750
Bp4TCXzRH73c5tLSH8ScRBDahQgh8R6xC6vYhdT3sExB	1750
DqLqogXpm3hziMKC1SnYYRz2vZV9Gquw3nPdN2qQmYRd	1500
DyATK7TwFBxQ8u7gH9r6tkTxtjFGU8UboYMJGgu6U4ZA	1500
5BPcWVD71kMnX4LvijZQf2spQgBs5aovXpNcGRNjZr83	1500
94vsuzsennSfNyihb1pNKV2ZYcRqCWEfyFHfBVjjk3CN	1500
DrjWgGSVoETKWUCXY9YCuBqpgdoK9ViinvDbc94HHsJT	1500
APuRQEb7ZAFBj2pSAHbbwd5ZWnyegVQEiqsLX13jWiud	1500
33AZnKpsZgMZZEbzNDaRjQLQuyAiULVt2Gj28Q5buLGL	1500
FuKEC9Px8Rvj3LMZdAt7opFCMkSkWXghe2F24NAmGUcG	1500
J3vdTePEGACVf2r5gxqGkjWre6ZHzE99oabkJR9Nw1m6	1500
9sFou9VhFBrirzDm8v94VDaWEVXw8HdNkeRqPhejZx6f	1500
GfLrw3u4umJY6M7C2WgvMxDfj7anKtRjfz5zHbWpj8pf	1500
GojdZWscJq3y434D6Z969nLZPFFZzifr9Z1PpnCb6aCx	1500
H8MMustZoz7ykD6DPod8j2D2HmbSGsoNd2hpGUzMF67G	1500
53NS8NzoK83PTyQ2BTKjZUVRCwkJQmXvkT8MXLyS7h5K	1500
6BmK1KaHqxR6b5AVtnc6vkasZ93eNeYgdrNntqho3uvp	1500
7upsDRTXgSDaCBuNv7scLgKDoQyTSSTMVfSSH3GkdTuY	1500
DhMAw6evf9xc14b4hKCMAP4CMNSBYnX5qJfcFzBBUrHR	1500
4cbBJPU5d9eLLprBvWCfBQxmdGA71y7xkvFUpY8FaFTs	1500
EqFrhuJBufe9tFiBPhMwfLL3wSRFAsk1pBzkdJWBTrKv	1500
4MqDjuYumovFMbcgCnRQuBKGL3hsktSUVGb2B4EaBxAW	1500
AUteEKDUYFCU45ZHGZEBS5EhdJxJDm2Rb5JgceefqpZw	1500
7kee12HHMMhW6FRKPHeMgoQr8Z72KqXKBmCVwaQxf2VV	1500
8uYgndyp3afrcyvgUDR3RgjNppbwgYyhrpdZzDCXfDwu	1500
7WYKXyJu7efGe3jC1HWXrDr7oNSoKyTae9RCXXwxDRgK	1250
4jH3PcvAPQZPbXu9jALGqzwN2uTN6Vkuo81Uaa7vNbVU	1250
HqAUZF4Cp5k1vUU7pvhPevvMTkV9mrJSvWsxq3NRaLMe	1250
6PKeSGSh8MYhqyQhxmFmS6N3CZpSVr9cpZ1RNUaRMF3Q	1250
GKvrAak1w9x5AqWmKqowEevGsJrJ47kpFwhxPkFxKvFA	1250
7m7hkqUHLhmThSdtWoeDXaVKcdQXjHSmifbj7NToMjWz	1250
tUTifMvNcsnCiLYciFRKY6gJ5sKVTAem4F98TbuBe7s	1250
9zTAN9nZdzWAQfDJBjTyLegne2qmkEwUb79qS34f8ufU	1250
2D1vMFi5JLvizUZCN1jwe2D83yShGEujwjTbJEaxRqjN	1250
6tqsViQW2N4eibdKv8jWXGqPFC2bq2u3brDMzbZ3ovA9	1250
H7biJ5dJGdq61r2s1EJrT27nUdqL1jPXWjoov6jjvExf	1250
8aJbpUQ6HoXvPFWjznaJkQdnTdwnF7rrgWVCoeTWghXA	1250
2yZNjpKi3mLSvyxPgYXfp4no9byszrGHGnPdh5YcYwQZ	1250
